pkt_rate: 1000, sent_num: 100, recv_num: 100
pkt_rate: 5800, sent_num: 100, recv_num: 100
pkt_rate: 5900, sent_num: 100, recv_num: 79
pkt_rate: 5900, sent_num: 100, recv_num: 100
pkt_rate: 6000, sent_num: 100, recv_num: 88
pkt_rate: 6000, sent_num: 100, recv_num: 100
pkt_rate: 6100, sent_num: 100, recv_num: 86
pkt_rate: 6100, sent_num: 100, recv_num: 100
pkt_rate: 6200, sent_num: 100, recv_num: 35
pkt_rate: 6200, sent_num: 100, recv_num: 100
pkt_rate: 6300, sent_num: 100, recv_num: 84
pkt_rate: 6300, sent_num: 100, recv_num: 100
pkt_rate: 6400, sent_num: 100, recv_num: 36
pkt_rate: 6400, sent_num: 100, recv_num: 100
pkt_rate: 6500, sent_num: 100, recv_num: 93
pkt_rate: 6500, sent_num: 100, recv_num: 100
pkt_rate: 6600, sent_num: 100, recv_num: 91
pkt_rate: 6600, sent_num: 100, recv_num: 100
pkt_rate: 6700, sent_num: 100, recv_num: 80
pkt_rate: 6700, sent_num: 100, recv_num: 100
pkt_rate: 6800, sent_num: 100, recv_num: 17
pkt_rate: 6800, sent_num: 100, recv_num: 100
pkt_rate: 6900, sent_num: 100, recv_num: 100
pkt_rate: 6900, sent_num: 100, recv_num: 100
pkt_rate: 7000, sent_num: 100, recv_num: 12
pkt_rate: 7000, sent_num: 100, recv_num: 100
pkt_rate: 7100, sent_num: 100, recv_num: 99
pkt_rate: 7100, sent_num: 100, recv_num: 100
pkt_rate: 7200, sent_num: 100, recv_num: 21
pkt_rate: 7200, sent_num: 100, recv_num: 100
pkt_rate: 7300, sent_num: 100, recv_num: 86
pkt_rate: 7300, sent_num: 100, recv_num: 100
pkt_rate: 7400, sent_num: 100, recv_num: 22
pkt_rate: 7400, sent_num: 100, recv_num: 100
pkt_rate: 7500, sent_num: 100, recv_num: 33
pkt_rate: 7500, sent_num: 100, recv_num: 100
pkt_rate: 7600, sent_num: 100, recv_num: 24
pkt_rate: 7600, sent_num: 100, recv_num: 100
pkt_rate: 7700, sent_num: 100, recv_num: 25
pkt_rate: 7700, sent_num: 100, recv_num: 100
pkt_rate: 7800, sent_num: 100, recv_num: 91
pkt_rate: 7800, sent_num: 100, recv_num: 100
pkt_rate: 7900, sent_num: 100, recv_num: 27
pkt_rate: 7900, sent_num: 100, recv_num: 100
pkt_rate: 8000, sent_num: 100, recv_num: 28
pkt_rate: 8000, sent_num: 100, recv_num: 100
pkt_rate: 8100, sent_num: 100, recv_num: 87
pkt_rate: 8100, sent_num: 100, recv_num: 100
pkt_rate: 8200, sent_num: 100, recv_num: 83
pkt_rate: 8200, sent_num: 100, recv_num: 100
pkt_rate: 8300, sent_num: 100, recv_num: 21
pkt_rate: 8300, sent_num: 100, recv_num: 100
pkt_rate: 8400, sent_num: 100, recv_num: 27
pkt_rate: 8400, sent_num: 100, recv_num: 100
pkt_rate: 8500, sent_num: 100, recv_num: 100
pkt_rate: 8500, sent_num: 100, recv_num: 100
pkt_rate: 8600, sent_num: 100, recv_num: 20
pkt_rate: 8600, sent_num: 100, recv_num: 100
pkt_rate: 8700, sent_num: 100, recv_num: 18
pkt_rate: 8700, sent_num: 100, recv_num: 100
pkt_rate: 8800, sent_num: 100, recv_num: 20
pkt_rate: 8800, sent_num: 100, recv_num: 100
pkt_rate: 8900, sent_num: 100, recv_num: 20
pkt_rate: 8900, sent_num: 100, recv_num: 100
pkt_rate: 9000, sent_num: 100, recv_num: 14
pkt_rate: 9000, sent_num: 100, recv_num: 0
pkt_rate: 9100, sent_num: 100, recv_num: 25
pkt_rate: 9100, sent_num: 100, recv_num: 100
pkt_rate: 9200, sent_num: 100, recv_num: 93
pkt_rate: 9200, sent_num: 100, recv_num: 100
pkt_rate: 9300, sent_num: 100, recv_num: 100
pkt_rate: 9300, sent_num: 100, recv_num: 100
pkt_rate: 9400, sent_num: 100, recv_num: 100
pkt_rate: 9400, sent_num: 100, recv_num: 100
pkt_rate: 9500, sent_num: 100, recv_num: 91
pkt_rate: 9500, sent_num: 100, recv_num: 100
pkt_rate: 9600, sent_num: 100, recv_num: 95
pkt_rate: 9600, sent_num: 100, recv_num: 100
pkt_rate: 9700, sent_num: 100, recv_num: 98
pkt_rate: 9700, sent_num: 100, recv_num: 100
pkt_rate: 9800, sent_num: 100, recv_num: 11
pkt_rate: 9800, sent_num: 100, recv_num: 100
pkt_rate: 9900, sent_num: 100, recv_num: 28
pkt_rate: 9900, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 100, rtt_min: 1.9, rtt_avg: 2.8, rtt_max: 3.9




pkt_rate: 4000, sent_num: 100, recv_num: 100, rtt_min: 0.2, rtt_avg: 12.2, rtt_max: 1003.5
pkt_rate: 4000, sent_num: 100, recv_num: 100, rtt_min: 0.5, rtt_avg: 2.7, rtt_max: 6.4
pkt_rate: 4000, sent_num: 100, recv_num: 100, rtt_min: 1.2, rtt_avg: 12.4, rtt_max: 1003.5
pkt_rate: 4000, sent_num: 100, recv_num: 100, rtt_min: 0.3, rtt_avg: 1.9, rtt_max: 3.9
pkt_rate: 6000, sent_num: 100, recv_num: 100, rtt_min: 0.3, rtt_avg: 2.4, rtt_max: 4.3
pkt_rate: 6000, sent_num: 100, recv_num: 29, rtt_min: 0.6, rtt_avg: 2.5, rtt_max: 4.4
pkt_rate: 6000, sent_num: 100, recv_num: 0, rtt_min: 0.0, rtt_avg: 0.0, rtt_max: 0.0
pkt_rate: 6000, sent_num: 100, recv_num: 0, rtt_min: 0.0, rtt_avg: 0.0, rtt_max: 0.0
pkt_rate: 6000, sent_num: 100, recv_num: 88, rtt_min: 0.4, rtt_avg: 2.4, rtt_max: 4.3
pkt_rate: 6000, sent_num: 100, recv_num: 0, rtt_min: 0.0, rtt_avg: 0.0, rtt_max: 0.0
pkt_rate: 6000, sent_num: 100, recv_num: 1, rtt_min: 3.9, rtt_avg: 3.9, rtt_max: 3.9
pkt_rate: 6000, sent_num: 100, recv_num: 0, rtt_min: 0.0, rtt_avg: 0.0, rtt_max: 0.0
pkt_rate: 6000, sent_num: 100, recv_num: 100, rtt_min: 0.4, rtt_avg: 2.4, rtt_max: 4.4
pkt_rate: 6000, sent_num: 100, recv_num: 0, rtt_min: 0.0, rtt_avg: 0.0, rtt_max: 0.0
pkt_rate: 6000, sent_num: 100, recv_num: 86
pkt_rate: 6000, sent_num: 100, recv_num: 100
pkt_rate: 6000, sent_num: 100, recv_num: 20
pkt_rate: 6000, sent_num: 100, recv_num: 99
pkt_rate: 6000, sent_num: 100, recv_num: 30



40

pkt_rate: 4000, sent_num: 100, recv_num: 54
pkt_rate: 4000, sent_num: 100, recv_num: 35
pkt_rate: 4000, sent_num: 100, recv_num: 33
pkt_rate: 4000, sent_num: 100, recv_num: 46
pkt_rate: 4000, sent_num: 100, recv_num: 67
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 47
pkt_rate: 4000, sent_num: 100, recv_num: 31
pkt_rate: 4000, sent_num: 100, recv_num: 47
pkt_rate: 4000, sent_num: 100, recv_num: 66
pkt_rate: 4000, sent_num: 100, recv_num: 83
pkt_rate: 4000, sent_num: 100, recv_num: 41
pkt_rate: 4000, sent_num: 100, recv_num: 95
pkt_rate: 4000, sent_num: 100, recv_num: 42
pkt_rate: 4000, sent_num: 100, recv_num: 92
pkt_rate: 4000, sent_num: 100, recv_num: 73
pkt_rate: 4000, sent_num: 100, recv_num: 43
pkt_rate: 4000, sent_num: 100, recv_num: 90
pkt_rate: 4000, sent_num: 100, recv_num: 47
pkt_rate: 4000, sent_num: 100, recv_num: 50
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 36
pkt_rate: 4000, sent_num: 100, recv_num: 48
pkt_rate: 4000, sent_num: 100, recv_num: 58
pkt_rate: 4000, sent_num: 100, recv_num: 83
pkt_rate: 4000, sent_num: 100, recv_num: 40
pkt_rate: 4000, sent_num: 100, recv_num: 75
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 55
pkt_rate: 4000, sent_num: 100, recv_num: 53
pkt_rate: 4000, sent_num: 100, recv_num: 52
pkt_rate: 4000, sent_num: 100, recv_num: 39
pkt_rate: 4000, sent_num: 100, recv_num: 67
pkt_rate: 4000, sent_num: 100, recv_num: 44
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 71
pkt_rate: 4000, sent_num: 100, recv_num: 89
pkt_rate: 4000, sent_num: 100, recv_num: 41
pkt_rate: 4000, sent_num: 100, recv_num: 36
pkt_rate: 4000, sent_num: 100, recv_num: 50
pkt_rate: 4000, sent_num: 100, recv_num: 52
pkt_rate: 4000, sent_num: 100, recv_num: 85
pkt_rate: 4000, sent_num: 100, recv_num: 38
pkt_rate: 4000, sent_num: 100, recv_num: 96
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 88
pkt_rate: 4000, sent_num: 100, recv_num: 44
pkt_rate: 4000, sent_num: 100, recv_num: 80
pkt_rate: 4000, sent_num: 100, recv_num: 82
pkt_rate: 4000, sent_num: 100, recv_num: 41
pkt_rate: 4000, sent_num: 100, recv_num: 75
pkt_rate: 4000, sent_num: 100, recv_num: 46
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 34
pkt_rate: 4000, sent_num: 100, recv_num: 66
pkt_rate: 4000, sent_num: 100, recv_num: 29
pkt_rate: 4000, sent_num: 100, recv_num: 47
pkt_rate: 4000, sent_num: 100, recv_num: 42
pkt_rate: 4000, sent_num: 100, recv_num: 74
pkt_rate: 4000, sent_num: 100, recv_num: 89
pkt_rate: 4000, sent_num: 100, recv_num: 31
pkt_rate: 4000, sent_num: 100, recv_num: 65
pkt_rate: 4000, sent_num: 100, recv_num: 67
pkt_rate: 4000, sent_num: 100, recv_num: 98
pkt_rate: 4000, sent_num: 100, recv_num: 65
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 19
pkt_rate: 4000, sent_num: 100, recv_num: 56
pkt_rate: 4000, sent_num: 100, recv_num: 80
pkt_rate: 4000, sent_num: 100, recv_num: 77
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 75
pkt_rate: 4000, sent_num: 100, recv_num: 39
pkt_rate: 4000, sent_num: 100, recv_num: 95
pkt_rate: 4000, sent_num: 100, recv_num: 53
pkt_rate: 4000, sent_num: 100, recv_num: 39
pkt_rate: 4000, sent_num: 100, recv_num: 55
pkt_rate: 4000, sent_num: 100, recv_num: 45
pkt_rate: 4000, sent_num: 100, recv_num: 43
pkt_rate: 4000, sent_num: 100, recv_num: 91
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 50
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 52
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 41
pkt_rate: 4000, sent_num: 100, recv_num: 61
pkt_rate: 4000, sent_num: 100, recv_num: 46
pkt_rate: 4000, sent_num: 100, recv_num: 35
pkt_rate: 4000, sent_num: 100, recv_num: 98
pkt_rate: 4000, sent_num: 100, recv_num: 47
pkt_rate: 4000, sent_num: 100, recv_num: 79
pkt_rate: 4000, sent_num: 100, recv_num: 77
pkt_rate: 4000, sent_num: 100, recv_num: 47
pkt_rate: 4000, sent_num: 100, recv_num: 90
pkt_rate: 4000, sent_num: 100, recv_num: 73
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 73
pkt_rate: 4000, sent_num: 100, recv_num: 57
pkt_rate: 4000, sent_num: 100, recv_num: 37
pkt_rate: 4000, sent_num: 100, recv_num: 98
pkt_rate: 4000, sent_num: 100, recv_num: 72
pkt_rate: 4000, sent_num: 100, recv_num: 80
pkt_rate: 4000, sent_num: 100, recv_num: 37
pkt_rate: 4000, sent_num: 100, recv_num: 48
pkt_rate: 4000, sent_num: 100, recv_num: 44
pkt_rate: 4000, sent_num: 100, recv_num: 82
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 70
pkt_rate: 4000, sent_num: 100, recv_num: 46
pkt_rate: 4000, sent_num: 100, recv_num: 67
pkt_rate: 4000, sent_num: 100, recv_num: 55
pkt_rate: 4000, sent_num: 100, recv_num: 48
pkt_rate: 4000, sent_num: 100, recv_num: 62
pkt_rate: 4000, sent_num: 100, recv_num: 75
pkt_rate: 4000, sent_num: 100, recv_num: 44
pkt_rate: 4000, sent_num: 100, recv_num: 72
pkt_rate: 4000, sent_num: 100, recv_num: 63
pkt_rate: 4000, sent_num: 100, recv_num: 83
pkt_rate: 4000, sent_num: 100, recv_num: 79
pkt_rate: 4000, sent_num: 100, recv_num: 77
pkt_rate: 4000, sent_num: 100, recv_num: 33
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 38
pkt_rate: 4000, sent_num: 100, recv_num: 34
pkt_rate: 4000, sent_num: 100, recv_num: 72
pkt_rate: 4000, sent_num: 100, recv_num: 54
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 86
pkt_rate: 4000, sent_num: 100, recv_num: 65
pkt_rate: 4000, sent_num: 100, recv_num: 62
pkt_rate: 4000, sent_num: 100, recv_num: 51
pkt_rate: 4000, sent_num: 100, recv_num: 50
pkt_rate: 4000, sent_num: 100, recv_num: 77
pkt_rate: 4000, sent_num: 100, recv_num: 38
pkt_rate: 4000, sent_num: 100, recv_num: 82
pkt_rate: 4000, sent_num: 100, recv_num: 44
pkt_rate: 4000, sent_num: 100, recv_num: 34
pkt_rate: 4000, sent_num: 100, recv_num: 53
pkt_rate: 4000, sent_num: 100, recv_num: 83
pkt_rate: 4000, sent_num: 100, recv_num: 83
pkt_rate: 4000, sent_num: 100, recv_num: 93
pkt_rate: 4000, sent_num: 100, recv_num: 43
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 95
pkt_rate: 4000, sent_num: 100, recv_num: 25
pkt_rate: 4000, sent_num: 100, recv_num: 74
pkt_rate: 4000, sent_num: 100, recv_num: 96
pkt_rate: 4000, sent_num: 100, recv_num: 44
pkt_rate: 4000, sent_num: 100, recv_num: 64
pkt_rate: 4000, sent_num: 100, recv_num: 78
pkt_rate: 4000, sent_num: 100, recv_num: 58
pkt_rate: 4000, sent_num: 100, recv_num: 36
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 100
pkt_rate: 4000, sent_num: 100, recv_num: 40
pkt_rate: 4000, sent_num: 100, recv_num: 46
pkt_rate: 4000, sent_num: 100, recv_num: 46
pkt_rate: 4000, sent_num: 100, recv_num: 37
pkt_rate: 4000, sent_num: 100, recv_num: 44
pkt_rate: 4000, sent_num: 100, recv_num: 68
pkt_rate: 4000, sent_num: 100, recv_num: 30
pkt_rate: 4000, sent_num: 100, recv_num: 97


60

pkt_rate: 6000, sent_num: 100, recv_num: 84
pkt_rate: 6000, sent_num: 100, recv_num: 20
pkt_rate: 6000, sent_num: 100, recv_num: 25
pkt_rate: 6000, sent_num: 100, recv_num: 36
pkt_rate: 6000, sent_num: 100, recv_num: 45
pkt_rate: 6000, sent_num: 100, recv_num: 25
pkt_rate: 6000, sent_num: 100, recv_num: 96
pkt_rate: 6000, sent_num: 100, recv_num: 16
pkt_rate: 6000, sent_num: 100, recv_num: 37
pkt_rate: 6000, sent_num: 100, recv_num: 89
pkt_rate: 6000, sent_num: 100, recv_num: 21
pkt_rate: 6000, sent_num: 100, recv_num: 80
pkt_rate: 6000, sent_num: 100, recv_num: 16
pkt_rate: 6000, sent_num: 100, recv_num: 36
pkt_rate: 6000, sent_num: 100, recv_num: 78
pkt_rate: 6000, sent_num: 100, recv_num: 38
pkt_rate: 6000, sent_num: 100, recv_num: 37
pkt_rate: 6000, sent_num: 100, recv_num: 29
pkt_rate: 6000, sent_num: 100, recv_num: 74
pkt_rate: 6000, sent_num: 100, recv_num: 97
pkt_rate: 6000, sent_num: 100, recv_num: 28
pkt_rate: 6000, sent_num: 100, recv_num: 29
pkt_rate: 6000, sent_num: 100, recv_num: 24
pkt_rate: 6000, sent_num: 100, recv_num: 31
pkt_rate: 6000, sent_num: 100, recv_num: 35
pkt_rate: 6000, sent_num: 100, recv_num: 39
pkt_rate: 6000, sent_num: 100, recv_num: 89
pkt_rate: 6000, sent_num: 100, recv_num: 87
pkt_rate: 6000, sent_num: 100, recv_num: 41
pkt_rate: 6000, sent_num: 100, recv_num: 20
pkt_rate: 6000, sent_num: 100, recv_num: 32
pkt_rate: 6000, sent_num: 100, recv_num: 64
pkt_rate: 6000, sent_num: 100, recv_num: 35
pkt_rate: 6000, sent_num: 100, recv_num: 42
pkt_rate: 6000, sent_num: 100, recv_num: 31
pkt_rate: 6000, sent_num: 100, recv_num: 86
pkt_rate: 6000, sent_num: 100, recv_num: 94
pkt_rate: 6000, sent_num: 100, recv_num: 25
pkt_rate: 6000, sent_num: 100, recv_num: 100
pkt_rate: 6000, sent_num: 100, recv_num: 94
pkt_rate: 6000, sent_num: 100, recv_num: 25
pkt_rate: 6000, sent_num: 100, recv_num: 86
pkt_rate: 6000, sent_num: 100, recv_num: 40
pkt_rate: 6000, sent_num: 100, recv_num: 30
pkt_rate: 6000, sent_num: 100, recv_num: 89
pkt_rate: 6000, sent_num: 100, recv_num: 83
pkt_rate: 6000, sent_num: 100, recv_num: 34
pkt_rate: 6000, sent_num: 100, recv_num: 88
pkt_rate: 6000, sent_num: 100, recv_num: 100
pkt_rate: 6000, sent_num: 100, recv_num: 17
pkt_rate: 6000, sent_num: 100, recv_num: 43
pkt_rate: 6000, sent_num: 100, recv_num: 27
pkt_rate: 6000, sent_num: 100, recv_num: 83
pkt_rate: 6000, sent_num: 100, recv_num: 33
pkt_rate: 6000, sent_num: 100, recv_num: 41
pkt_rate: 6000, sent_num: 100, recv_num: 30
pkt_rate: 6000, sent_num: 100, recv_num: 27
pkt_rate: 6000, sent_num: 100, recv_num: 47
pkt_rate: 6000, sent_num: 100, recv_num: 33
pkt_rate: 6000, sent_num: 100, recv_num: 100
pkt_rate: 6000, sent_num: 100, recv_num: 38
pkt_rate: 6000, sent_num: 100, recv_num: 84
pkt_rate: 6000, sent_num: 100, recv_num: 31
pkt_rate: 6000, sent_num: 100, recv_num: 74
pkt_rate: 6000, sent_num: 100, recv_num: 90
pkt_rate: 6000, sent_num: 100, recv_num: 30
pkt_rate: 6000, sent_num: 100, recv_num: 99
pkt_rate: 6000, sent_num: 100, recv_num: 92
pkt_rate: 6000, sent_num: 100, recv_num: 86
pkt_rate: 6000, sent_num: 100, recv_num: 93
pkt_rate: 6000, sent_num: 100, recv_num: 77
pkt_rate: 6000, sent_num: 100, recv_num: 27
pkt_rate: 6000, sent_num: 100, recv_num: 98
pkt_rate: 6000, sent_num: 100, recv_num: 32
pkt_rate: 6000, sent_num: 100, recv_num: 41
pkt_rate: 6000, sent_num: 100, recv_num: 87
pkt_rate: 6000, sent_num: 100, recv_num: 26
pkt_rate: 6000, sent_num: 100, recv_num: 30
pkt_rate: 6000, sent_num: 100, recv_num: 26
pkt_rate: 6000, sent_num: 100, recv_num: 100
pkt_rate: 6000, sent_num: 100, recv_num: 100
pkt_rate: 6000, sent_num: 100, recv_num: 35
pkt_rate: 6000, sent_num: 100, recv_num: 53
pkt_rate: 6000, sent_num: 100, recv_num: 64
pkt_rate: 6000, sent_num: 100, recv_num: 39
pkt_rate: 6000, sent_num: 100, recv_num: 75
pkt_rate: 6000, sent_num: 100, recv_num: 75
pkt_rate: 6000, sent_num: 100, recv_num: 86
pkt_rate: 6000, sent_num: 100, recv_num: 66
pkt_rate: 6000, sent_num: 100, recv_num: 33
pkt_rate: 6000, sent_num: 100, recv_num: 41
pkt_rate: 6000, sent_num: 100, recv_num: 32
pkt_rate: 6000, sent_num: 100, recv_num: 22
pkt_rate: 6000, sent_num: 100, recv_num: 30
pkt_rate: 6000, sent_num: 100, recv_num: 25
pkt_rate: 6000, sent_num: 100, recv_num: 86
pkt_rate: 6000, sent_num: 100, recv_num: 100
pkt_rate: 6000, sent_num: 100, recv_num: 84
pkt_rate: 6000, sent_num: 100, recv_num: 97
pkt_rate: 6000, sent_num: 100, recv_num: 91
pkt_rate: 6000, sent_num: 100, recv_num: 41

80
pkt_rate: 8000 sent_num: 100 recv_num: 20
pkt_rate: 8000 sent_num: 100 recv_num: 100
pkt_rate: 8000 sent_num: 100 recv_num: 21
pkt_rate: 8000 sent_num: 100 recv_num: 94
pkt_rate: 8000 sent_num: 100 recv_num: 100
pkt_rate: 8000 sent_num: 100 recv_num: 22
pkt_rate: 8000 sent_num: 100 recv_num: 87
pkt_rate: 8000 sent_num: 100 recv_num: 24
pkt_rate: 8000 sent_num: 100 recv_num: 20
pkt_rate: 8000 sent_num: 100 recv_num: 21
pkt_rate: 8000 sent_num: 100 recv_num: 86
pkt_rate: 8000 sent_num: 100 recv_num: 20
pkt_rate: 8000 sent_num: 100 recv_num: 24
pkt_rate: 8000 sent_num: 100 recv_num: 28
pkt_rate: 8000 sent_num: 100 recv_num: 26
